From,To,Operator,Distance,Duration,Bus Type,Departure,Arrival,Cost
Hosur,Chavadi,Kallada Travels,204,00:05:06,SEMI SLEEPER CUM SLEEPER,8:10:00 PM,1:16:00 AM,2460
Hosur,Thirunallar,Srs Travels (SRS Travels),340,00:08:30,"2+2, Executive AirBus, Non-AC, Video",11:30:00 PM,8:00:00 AM,1230
Hosur,Kodakara,Kallada Travels,463,00:11:35,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:15:00 PM,8:50:00 AM,910
Hosur,Parasala,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:10:00 PM,9:19:00 AM,890
Hosur,Batlagundu,Kallada Travels,280,00:07:00,SEMI SLEEPER CUM SLEEPER,8:20:00 PM,3:20:00 AM,1590
Hosur,Batlagundu,KPN Travels,290,00:07:15,BERTH SLEEPER A/C : 29,10:45:00 PM,6:00:00 AM,1510
Hosur,Tutucorin,KPN Travels,450,00:11:15,BERTH SLEEPER A/C : 29,7:45:00 PM,7:00:00 AM,930
Hosur,Tutucorin,Srs Travels (SRS Travels),340,00:08:30,"2+1, Sleeper, Non-AC, Non-Video",10:00:00 PM,6:30:00 AM,1230
Hosur,Tutucorin,SRM Transports India Private Limited,356,00:08:54,Sleeper,9:30:00 PM,6:24:00 AM,1170
Hosur,Tutucorin,KPN Travels,450,00:11:15,2+1: 31 S.S NON A/C,7:15:00 PM,6:30:00 AM,930
Hosur,Tutucorin,KPN Travels,430,00:10:45,2+2 VOLVO A/C(MULTI AXLE) : 44,8:15:00 PM,7:00:00 AM,970
Hosur,Nedugandam,Royal Travels,301,00:07:32,RoyalSemiSleeper,8:45:00 PM,4:17:00 AM,1440
Hosur,Tenkasi,KPN Travels,460,00:11:30,BERTH SLEEPER NON A/C :29,8:00:00 PM,7:30:00 AM,920
Hosur,Tenkasi,Srs Travels (SRS Travels),310,00:07:45,"2+1, Sleeper, Non-AC, Non-Video",10:15:00 PM,6:00:00 AM,1390
Hosur,Erode,Srs Travels (SRS Travels),200,00:05:00,"2+1, Sleeper, Non-AC, Non-Video",11:45:00 PM,4:45:00 AM,2530
Hosur,Erode,Sachin Travels,200,00:05:00,"2+1, Semi Sleeper, Non-AC, Video",12:00:00 AM,5:00:00 AM,2530
Hosur,Erode,KPN Travels,190,00:04:45,2+2 VOLVO A/C(MULTI AXLE) : 44,4:00:00 PM,8:45:00 PM,2720
Hosur,Erode,KPN Travels,160,00:04:00,2+2 VOLVO A/C(MULTI AXLE) : 44,9:00:00 AM,1:00:00 PM,3430
Hosur,Erode,Kallada Travels,185,00:04:38,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:45:00 AM,2:23:00 PM,2810
Hosur,Erode,Kallada Travels,199,00:04:59,Multiaxle B9R VOLVO A/C SEMI SLEEPER,2:45:00 PM,7:44:00 PM,2540
Hosur,Trichy,KPN Travels,310,00:07:45,2+2 S.S NON A/C : 31,9:15:00 PM,5:00:00 AM,1390
Hosur,Trichy,KPN Travels,270,00:06:45,2+2 S.S NON A/C : 31,9:45:00 PM,4:30:00 AM,1670
Hosur,Trichy,KPN Travels,270,00:06:45,2+2 VOLVO A/C(MULTI AXLE) : 44,2:15:00 PM,9:00:00 PM,1670
Hosur,Karur,Royal Travels,213,00:05:20,RoyalTravels(2+2),11:45:00 PM,5:05:00 AM,2310
Hosur,Karur,Royal Travels,213,00:05:20,RoyalSemisleeper,10:30:00 PM,3:50:00 AM,2310
Hosur,Karur,Kallada Travels,266,00:06:39,SEMI SLEEPER CUM SLEEPER,8:20:00 PM,2:59:00 AM,1700
Hosur,Karur,KPN Travels,170,00:04:15,2+2 VOLVO A/C(MULTI AXLE) : 44,10:45:00 AM,3:00:00 PM,3160
Hosur,Karur,Srs Travels (SRS Travels),260,00:06:30,"2+1, Sleeper, Non-AC, Non-Video",11:30:00 PM,6:00:00 AM,1760
Hosur,Karur,Srs Travels (SRS Travels),210,00:05:15,"2+1, Sleeper, Non-AC, Non-Video",7:45:00 PM,1:00:00 AM,2360
Hosur,Karur,Srs Travels (SRS Travels),160,00:04:00,"2+2, Semi Sleeper, Non-AC, Video",11:00:00 PM,3:00:00 AM,3430
Hosur,Karur,KPN Travels,190,00:04:45,2+2 A/C MULTI AXLE : 44,1:45:00 PM,6:30:00 PM,2720
Hosur,Karur,Royal Travels,213,00:05:20,RoyalSemiSleeper,8:45:00 PM,2:05:00 AM,2310
Hosur,Kalady,Kallada Travels,486,00:12:09,Multiaxle B9R VOLVO A/C SEMI SLEEPER,9:15:00 PM,9:24:00 AM,890
Hosur,Kalady,Kallada Travels,301,00:07:32,SEMI SLEEPER CUM SLEEPER,7:50:00 PM,3:22:00 AM,1440
